序号,省份,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-领导及邮箱,国际处-电话,理工学院数,理工学院明细,备注
84,江苏省,南京农业大学,,211,公办,55,http://njau.91job.org.cn/,,,,http://grasch.njau.edu.cn,,,,https://intl.njau.edu.cn/,南农国际教育,,"刘营军 副书记
党总支 书记",,8,"植物科学学部 | https://www.njau.edu.cn/200/list.htm | 电话:025-84395366; 025-84396632; 025-84395708
动物科学学部 | https://www.njau.edu.cn/201/list.htm | 电话:025-84395366; 025-84396632; 025-84395708
生物与环境学部 | https://www.njau.edu.cn/202/list.htm | 电话:025-84395366; 025-84396632; 025-84395708
资源与环境科学学院 | http://re.njau.edu.cn/ | 电话:025-84395210
生命科学学院 | http://lfc.njau.edu.cn/
理学院 | http://cos.njau.edu.cn/ | 邮箱:chend@njau.edu.cn | 电话:025-84395204
食品与工程学部 | https://www.njau.edu.cn/203/list.htm | 电话:025-84395366; 025-84396632; 025-84395708
食品科学技术学院 | http://food.njau.edu.cn/ | 电话:025-84395618",
85,江苏省,南京师范大学,,211,公办,58,,,,,,,,,https://gjc.njnu.edu.cn/,,,,,0,,
86,江苏省,南京理工大学,,211,公办,36,,,,,,,,,https://gjc.njust.edu.cn/,,,,,0,,
87,江苏省,南京航空航天大学,,211,公办,37,https://nuaa.91job.org.cn/,,,,http://www.graduate.nuaa.edu.cn/,,,,https://ico.nuaa.edu.cn/,,,"赖际舟 处长（主持工作）
张国权 副处长（负责高层次校际合作关系拓展及维护、教职工因公出国境工作等）
徐智鑫 副处长（负责引智工作、国际合作平台建设（含中外合作办学、引智基地、国际合）
祖语嫣 科长（负责综合事务、国际学术交流、外事接待、国际会议申报、暑期国际课程）
处理相 科长
单晶 科长（负责国际合作平台和项目建设（含中外合作办学、引智基地、国际合作联）
做好项 科长（负责外国专家项目相关工作）
做好外 科长
唐崟捷 科长
申雅梅 科员
王芮欣 科员
洪滔 科员
申雅梅（审核及材料收取）
唐崟捷（任务批件办理）
洪滔（证照及签证办理）
王芮欣（证照及签证办理）
管老师",,9,"航空学院 | http://aero.nuaa.edu.cn/ | 电话:+86-25-84892152
能源与动力学院 | http://cepe.nuaa.edu.cn/ | 电话:025-84893666
自动化学院 | http://cae.nuaa.edu.cn/ | 电话:+86-25-84892368
电子信息工程学院 | http://ceie.nuaa.edu.cn | 邮箱:ceie_public@nuaa.edu.cn
材料科学与技术学院 | http://msc.nuaa.edu.cn
数学学院 | http://math.nuaa.edu.cn/ | 邮箱:yunzired@nuaa.edu.cn
航天学院 | http://astro.nuaa.edu.cn
通用航空与飞行学院 | http://cgaf.nuaa.edu.cn
物理学院 | https://physics.nuaa.edu.cn/ | 邮箱:chenxw@nuaa.edu.cn; ywliu@nuaa.edu.cn",
88,江苏省,江南大学,,211,公办,52,http://jiangnan.91job.org.cn,,,,http://gs.jiangnan.edu.cn/,官方微博,yjsy@jiangnan.edu.cn,0510-85913652（,http://guojiaochu.jiangnan.edu.cn/,,gjch@jiangnan.edu.cn,"倪晔 处长、港澳台办公室主任: yni@jiangnan.edu.cn
蔡建英 副处长、港澳台办公室副主任: cherrycai@jiangnan.edu.cn
秦洁 副处长: jqin@jiangnan.edu.cn
王胤 副处长: wangyin@jiangnan.edu.cn
蔡晓霞（外国专家及中外合作办学事务）: xxcai@jiangnan.edu.cn
胡袁园（外国专家及中外合作办学事务）: yuanyuanhu@jiangnan.edu.cn
吴亚雯（学生交流及港澳台事务）: wuyw@jiangnan.edu.cn
田泽宇（学生交流及港澳台事务）: tianzeyu778@jiangnan.edu.cn
童文俊（来华学历生招生及涉外管理）: jackytong@jiangnan.edu.cn
吴红霞（来华学历生招生及涉外管理）: hxwu@jiangnan.edu.cn
仇亦倩（来华学历生招生及涉外管理）: yiqianqiu@jiangnan.edu.cn
何健（出入境管理及涉外保密工作）: hejian@jiangnan.edu.cn
王月华（出入境管理及涉外保密工作）: wangyuehua@jiangnan.edu.cn
刘琦（综合事务及党建工作）: liuq@jiangnan.edu.cn
荣艳（综合事务及党建工作）: rongyan@jiangnan.edu.cn
HU Yuanyuan: yuanyuanhu@jiangnan.edu.cn",,10,"生物工程学院 | http://biotech.jiangnan.edu.cn/ | 邮箱:biotech@jiangnan.edu.cn | 电话:0510-85197012
纺织科学与工程学院 | http://ctc.jiangnan.edu.cn/ | 电话:0510-85912007
环境与生态学院 | http://see.jiangnan.edu.cn/ | 邮箱:see@jiangnan.edu.cn | 电话:0510-85910932
机械工程学院 | http://sme.jiangnan.edu.cn/ | 邮箱:jxgcxy@jiangnan.edu.cn | 电话:0510-85910562
生命科学与健康工程学院 | http://slshe.jiangnan.edu.cn | 邮箱:medicine@jiangnan.edu.cn | 电话:0510-85329042
数学与数据科学学院 | http://math.jiangnan.edu.cn/ | 邮箱:math@jiangnan.edu.cn | 电话:0510-85910532
光电信息与物理科学学院 | https://oips.jiangnan.edu.cn/ | 邮箱:bailihua@jiangnan.edu.cn; gdwl@jiangnan.edu.cn | 电话:0510-85912210
集成电路学院 | http://ic.jiangnan.edu.cn | 邮箱:jcdlxy@jiangnan.edu.cn | 电话:0510-85197309
纤维工程与装备技术学院 | http://feet.jiangnan.edu.cn/ | 邮箱:feet@jiangnan.edu.cn | 电话:0510-85198835
国家卓越工程师学院 | https://giee.jiangnan.edu.cn/ | 邮箱:zygcsxy@jiangnan.edu.cn",
89,江苏省,河海大学,,211,公办,63,https://www.hhu.edu.cn/zsjy/list.htm,,,010602011857,http://gs.hhu.edu.cn/,,,,https://gjhzc.hhu.edu.cn/,,gjhzc@hhu.edu.cn,"马科斯 处长（主持...）
选拔推 院长（负责孔子学院中方承办机构的管理工作）
席工程 顾问
签字 院长（分管院长签字；）",,20,"水文水资源学院 | https://shxy.hhu.edu.cn/ | 邮箱:shxy@hhu.edu.cn | 电话:025-83786621
水利水电学院 | http://sdxy.hhu.edu.cn/ | 邮箱:sdy@hhu.edu.cn | 电话:025-83786511
港口海岸与近海工程学院 | http://ghxy.hhu.edu.cn/ | 邮箱:ghxy@hhu.edu.cn
土木与交通学院 | http://ccte.hhu.edu.cn/ | 邮箱:sdy@hhu.edu.cn | 电话:025-83786511
环境学院 | http://hjxy.hhu.edu.cn/ | 邮箱:hjxy@hhu.edu.cn
电气与动力工程学院 | http://ceee.hhu.edu.cn/
计算机与软件学院 | http://cies.hhu.edu.cn/ | 电话:02558099120
力学与工程科学学院 | https://cmes.hhu.edu.cn/ | 电话:025-83787027
地球科学与工程学院 | http://dxy.hhu.edu.cn/ | 邮箱:dxybgs@hhu.edu.cn | 电话:025-58099141; 025-83787244; 025-83787234
农业科学与工程学院 | http://ngy.hhu.edu.cn/ | 邮箱:ngy@hhu.edu.cn
机电工程学院 | http://jidian.hhu.edu.cn/ | 电话:04885191827
信息科学与工程学院 | https://ise.hhu.edu.cn | 电话:16070513727
人工智能与自动化学院 | https://ai.hhu.edu.cn/
新能源学院 | https://xny.hhu.edu.cn/
材料科学与工程学院 | https://mse.hhu.edu.cn/ | 邮箱:mse@hhu.edu.cn | 电话:0519-85195360
海洋学院 | http://hyxy.hhu.edu.cn/ | 邮箱:hyxy@hhu.edu.cn | 电话:（025）83786641
地理与遥感学院 | https://dlxy.hhu.edu.cn/ | 邮箱:dilixueyuan@hhu.edu.cn | 电话:025-52158923
数学学院 | https://math.hhu.edu.cn/ | 电话:025-58099160
未来技术学院 | https://ft.hhu.edu.cn/ | 电话:0519-85195763
卓越工程师学院 | https://zygcsxy.hhu.edu.cn/ | 电话:025-83787521",
90,江苏省,苏州大学,,211,公办,46,https://www.suda.edu.cn/enroll_job/?id=1#bk,,zsb@suda.edu.cn; sdyzb@suda.edu.cn,0512-67507943; 0512-67507941; 0512-65227655,https://www.suda.edu.cn/education_teaching/jyjx.jsp#yjs,,,050802010530,https://international.suda.edu.cn/,Copyright,,"李彦光 处长
兼港澳 副处长
徐雯彦 副处长",,2,"科学技术研究院 | https://scit.suda.edu.cn/ | 电话:0512-67163260
产业技术研究院 | https://indt.suda.edu.cn/",
91,江西省,南昌大学,,211,公办,74,https://www.ncu.edu.cn/zsjy.htm,,,010802000198,https://www.ncu.edu.cn/rcpy/yjsjy.htm,,,010802000198,https://gjc.ncu.edu.cn/,,gjjlc@ncu.edu.cn,"给学生 院长
担任交 处长（主持）",,13,"物理与材料学院 | http://spms.ncu.edu.cn/ | 邮箱:nculcxy@ncu.edu.cn; mse@ncu.edu.cn | 电话:0791-83969553（
数学与计算机学院 | http://smcs.ncu.edu.cn/ | 邮箱:smcs@ncu.edu.cn | 电话:0791-83969506
化学化工学院 | http://chem.ncu.edu.cn/ | 邮箱:ncuhxhgxy@ncu.edu.cn | 电话:0791-83969514
信息工程学院 | http://ie.ncu.edu.cn/ | 邮箱:liuqiegen@ncu.edu.cn | 电话:0791-83969675
人工智能学院 | http://sai.ncu.edu.cn | 电话:0791-83968083
软件学院 | http://soft.ncu.edu.cn/ | 邮箱:rjxy@ncu.edu.cn | 电话:0791-88305687（
食品学院 | http://sfst.ncu.edu.cn/ | 邮箱:spxy@ncu.edu.cn | 电话:0791-83969526
生命科学学院 | http://bio.ncu.edu.cn/
资源与环境学院 | http://zhxy.ncu.edu.cn/ | 邮箱:zihuan@ncu.edu.cn | 电话:0791-83969583
建筑与设计学院 | https://jzysjxy.ncu.edu.cn/ | 邮箱:qianchen@ncu.edu.cn
工程建设学院 | http://gcjs.ncu.edu.cn/ | 邮箱:tmgcxz@ncu.edu.cn | 电话:0791-83969652
眼视光学院 | http://ncdxfsykyy.ncu.edu.cn/ | 邮箱:ndfsykyybgs@ncu.edu.cn | 电话:0791-86318903; 0791-88861118
卓越工程师学院 | https://ygb.ncu.edu.cn/ | 电话:0791-83969346",
92,河北省,河北工业大学,,211,公办,107,http://career.hebut.edu.cn,,,,https://yjs.hebut.edu.cn,河北工业大学,,,https://io.hebut.edu.cn/,,,"办公 处长（主持全面工作 冯勇 职务：副处长）
办公 副处长（分管中外合作）: fengyong@hebut.edu.cn
办公 主任（出国境审批、综合事务 田颖慧 职务：干事）: maxinxing@hebut.edu.cn
办公 干事（外国专家和引才引智、国家）: yhtian@hebut.edu.cn
办公 干事（中外合作）: 2021093@hebut.edu.cn",,10,"电气工程学院 | http://ee.hebut.edu.cn/
材料科学与工程学院 | http://clxy.hebut.edu.cn/
化工学院 | http://chemeng.hebut.edu.cn/ | 电话:022-60204294
机械工程学院 | http://mes.hebut.edu.cn/ | 电话:022-60202050
土木与交通学院 | http://tm.hebut.edu.cn/
电子信息工程学院 | http://eie.hebut.edu.cn/
人工智能与数据科学学院 | http://ai.hebut.edu.cn/ | 邮箱:AI@hebut.edu.cn
能源与环境工程学院 | http://see.hebut.edu.cn/ | 电话:022-60435279
生命科学与健康工程学院 | https://hsbme.hebut.edu.cn/
理学院 | http://science.hebut.edu.cn/ | 电话:022-60435638",
93,河南省,郑州大学,,211,公办,44,https://www.zzu.edu.cn/zsjy.htm,郑州大学-微信,function,019702002177,http://gs.zzu.edu.cn/,,,,https://www5.zzu.edu.cn/gjjl/,,,"吴军超 处长: wujc@zzu.edu.cn
孙雪莲 副处长: xueliansun@zzu.edu.cn
谢亚新 副处长: xyxain@zzu.edu.cn",,16,"数学与统计学院 | http://www5.zzu.edu.cn/math
化学学院 | https://www7.zzu.edu.cn/hxx | 电话:0371-67781815
物理学院 | http://www5.zzu.edu.cn/wuli | 电话:0371-67783170
电气与信息工程学院 | http://www5.zzu.edu.cn/eie/
计算机与人工智能学院、软件学院 | http://www7.zzu.edu.cn/csai/ | 邮箱:rczpjsj@zzu.edu.cn | 电话:0371-67783097
材料科学与工程学院 | http://www5.zzu.edu.cn/clgc
机械与动力工程学院 | http://www5.zzu.edu.cn/mech | 电话:2024-10-17
水利与交通学院 | http://www5.zzu.edu.cn/slyhj/
土木工程学院 | http://www5.zzu.edu.cn/tmgc | 电话:(0371)67781680
化工学院 | http://www5.zzu.edu.cn/hxgc | 电话:0371-67781801
智慧建筑与城乡规划学院 | http://www5.zzu.edu.cn/arch | 电话:0371-67781760
力学与安全工程学院 | http://www5.zzu.edu.cn/gclx | 电话:0371-67783117
网络空间安全学院 | http://cse.zzu.edu.cn/
生态与环境学院 | http://www7.zzu.edu.cn/sthj/ | 邮箱:rczpsthj@zzu.edu.cn; sthjyzxx@zzu.edu.cn | 电话:0371-67730288; 0371-67781331
地球科学与技术学院 | http://www7.zzu.edu.cn/geoscience/ | 邮箱:dxy@zzu.edu.cn | 电话:0371-67767970
生命科学学院 | http://www5.zzu.edu.cn/lifesci | 邮箱:smkx2001@163.com | 电话:0371-67783235",
94,海南省,海南大学,,211,公办,87,https://www.hainanu.edu.cn/zsjy.htm,,,010802000692,https://ha.hainanu.edu.cn/gs/,,,,https://global.hainanu.edu.cn/,,,"刘亮 处长
许苗 副处长
许苗 副处长: xumiao@hainanu.edu.cn
岳大然 副院长（国际学生学籍管理、转专业、毕业和学位管理、科研及教改项目管理、及来华留学生高等教）: 994243@hainanu.edu.cn
委员会 顾问
委员会 顾问: global@hainanu.edu.cn",,32,"数学与统计学院 | http://sms.hainanu.edu.cn | 邮箱:hdsxtj@hainanu.edu.cn
物理与光电工程学院 | http://spoe.hainanu.edu.cn | 邮箱:wdxyzh@hainanu.edu.cn | 电话:0898-66279161
化学化工学院 | http://scce.hainanu.edu.cn | 邮箱:hdhg@hainanu.edu.cn | 电话:0898-66255906; 0898-66256050; 0898-66279224
生命健康学院 | http://slhs.hainanu.edu.cn | 邮箱:hdsmkx@hainanu.edu.cn | 电话:0898-66253203（
机电工程学院 | http://smee.hainanu.edu.cn | 电话:0898-66267576; 0898-66271526; 0898-66267372
材料科学与工程学院 | http://mse.hainanu.edu.cn | 邮箱:clxyzhb@hainanu.edu.cn | 电话:0898-66251982（
电子科学与技术学院 | https://hd.hainanu.edu.cn/dzkx/
信息与通信工程学院 | http://sice.hainanu.edu.cn | 邮箱:sice@hainan.edu.cn | 电话:0898-66279057
计算机科学与技术学院 | http://cs.hainanu.edu.cn | 邮箱:cs@hainanu.edu.cn | 电话:0898-66278203
网络空间安全学院 | https://scs.hainanu.edu.cn/ | 邮箱:scscs@hainanu.edu.cn | 电话:0898-66259127; 0898-66257132
土木建筑工程学院 | http://scea.hainanu.edu.cn | 电话:0898-66279232
海洋技术与装备学院 | http://smse.hainanu.edu.cn/ | 邮箱:sheny2000@hainanu.edu.cn; 991302@hainanu.edu.cn | 电话:0898-66192572; 0898-66255276
环境科学与工程学院 | http://sese.hainanu.edu.cn | 电话:0898-66255157
食品科学与工程学院 | https://hd.hainanu.edu.cn/shipin/
海洋生物与水产学院 | http://smbf.hainanu.edu.cn | 邮箱:xiesg@hainanu.edu.cn; 993928@hainanu.edu.cn; haiyyb@hainu.edu.cn | 电话:0898-66279184
空天智能学院 | https://sai.hainanu.edu.cn/ | 邮箱:ktzn@hainanu.edu.cn | 电话:0898-66268297
数学与统计学院 | http://sms.hainanu.edu.cn | 邮箱:hdsxtj@hainanu.edu.cn
物理与光电工程学院 | http://spoe.hainanu.edu.cn | 邮箱:wdxyzh@hainanu.edu.cn | 电话:0898-66279161
化学化工学院 | http://scce.hainanu.edu.cn | 邮箱:hdhg@hainanu.edu.cn | 电话:0898-66255906; 0898-66256050; 0898-66279224
生命健康学院 | http://slhs.hainanu.edu.cn | 邮箱:hdsmkx@hainanu.edu.cn | 电话:0898-66253203（
机电工程学院 | http://smee.hainanu.edu.cn | 电话:0898-66267576; 0898-66271526; 0898-66267372
材料科学与工程学院 | http://mse.hainanu.edu.cn | 邮箱:clxyzhb@hainanu.edu.cn | 电话:0898-66251982（
电子科学与技术学院 | https://hd.hainanu.edu.cn/dzkx/
信息与通信工程学院 | http://sice.hainanu.edu.cn | 邮箱:sice@hainan.edu.cn | 电话:0898-66279057
计算机科学与技术学院 | http://cs.hainanu.edu.cn | 邮箱:cs@hainanu.edu.cn | 电话:0898-66278203
网络空间安全学院 | https://scs.hainanu.edu.cn/ | 邮箱:scscs@hainanu.edu.cn | 电话:0898-66259127; 0898-66257132
土木建筑工程学院 | http://scea.hainanu.edu.cn | 电话:0898-66279232
海洋技术与装备学院 | http://smse.hainanu.edu.cn/ | 邮箱:sheny2000@hainanu.edu.cn; 991302@hainanu.edu.cn | 电话:0898-66192572; 0898-66255276
环境科学与工程学院 | http://sese.hainanu.edu.cn | 电话:0898-66255157
食品科学与工程学院 | https://hd.hainanu.edu.cn/shipin/
海洋生物与水产学院 | http://smbf.hainanu.edu.cn | 邮箱:xiesg@hainanu.edu.cn; 993928@hainanu.edu.cn; haiyyb@hainu.edu.cn | 电话:0898-66279184
空天智能学院 | https://sai.hainanu.edu.cn/ | 邮箱:ktzn@hainanu.edu.cn | 电话:0898-66268297",
95,湖北省,中南财经政法大学,,211,公办,,https://www.zuel.edu.cn/recruit_jobs/,,,018502002264,http://yjsy.zuel.edu.cn/,,,,https://gjc.zuel.edu.cn/,,,,,2,"统计与数学学院 | https://tsxy.zuel.edu.cn/
信息工程学院 | https://xagx.zuel.edu.cn/",
96,湖北省,中国地质大学（武汉）,,211,公办,56,https://www.cug.edu.cn/zsjy.htm,,,011102004169,http://graduate.cug.edu.cn/,,,027-67885151,https://gjhzc.cug.edu.cn/,,,"关庆锋 处长（主持国际合作处、港澳台地区事务管理等相关工作）
范陆薇 副处长（分管中外合作办学办公室）
姚夏晶 副处长
徐侨伊（综合事务办公室，负责日常综合事务管理工作）
张晓珊（国际合作项目与基地办公室，申报与管理各类外专项目和引智基地等）
张友丽（国际合作项目与基地办公室，申报与管理各类外专项目和引智基地等）
朱宠莲（因公出国与来华专家办公室，教师因公出国（境）事务等）
赵文静（因公出国与来华专家办公室，教师因公出国（境）事务等）
李雅莉（中外合作办学办公室，全球合作网络建设等）
李梦宇（中外合作办学办公室，全球合作网络建设等）
李娜（中外合作办学办公室，负责国际大学联盟和国别研究中心）
张愫恒（中外合作办学办公室，负责国际大学联盟和国别研究中心）
吴丹（负责国际大学联盟和国别研究中心）",,18,"地球与行星科学学院 | http://dxy.cug.edu.cn/ | 邮箱:dxb@cug.edu.cn | 电话:027-67883001
资源学院 | http://zyxy.cug.edu.cn/ | 邮箱:zyb@cug.edu.cn
材料与化学学院 | http://chxy.cug.edu.cn/ | 邮箱:chxyyb@cug.edu.cn | 电话:027-67883736
环境学院 | http://ses.cug.edu.cn/ | 电话:（027）67883152
工程学院 | http://gcxy.cug.edu.cn/
地球物理与空间信息学院 | http://dkxy.cug.edu.cn/ | 邮箱:wtb@cug.edu.cn | 电话:86-27-67883251
海洋学院 | http://cmst.cug.edu.cn/ | 邮箱:cmst@cug.edu.cn
机械与电子信息学院 | http://jidian.cug.edu.cn/ | 邮箱:zhangjing28@cug.edu.cn; lix@cug.edu.cn | 电话:027-67883273
人工智能与自动化学院 | http://au.cug.edu.cn/
地理与信息工程学院 | http://xgxy.cug.edu.cn/ | 邮箱:dxxyjw@cug.edu.cn | 电话:027-67883721; 027-87581009; 027-67883728
数学与物理学院 | http://slxy.cug.edu.cn/ | 邮箱:slxy@cug.edu.cn | 电话:027-67883091
计算机学院 | http://cs.cug.edu.cn/ | 邮箱:jsjb@cug.edu.cn | 电话:027-67883716
李四光学院 | http://lsgxy.cug.edu.cn/ | 电话:027-67885190
未来技术学院 | https://sft.cug.edu.cn/
先进技术研究院 | https://xjjsyjy.cug.edu.cn/ | 邮箱:xjy@cug.edu.cn | 电话:027-67880788
自然资源调查研究院 | https://ddy.cug.edu.cn/ | 邮箱:ddyb@cug.edu.cn | 电话:027-67883017; 027-67883472
国家卓越工程师学院 | https://zhuoy.cug.edu.cn/index.htm | 电话:027-67886412
安哈尔特智能工程与可持续发展学院 | https://cug-anhalt.cug.edu.cn/ | 邮箱:cuganhalt@cug.edu.cn",
97,湖北省,华中农业大学,,211,公办,45,https://www.hzau.edu.cn/zsjy/bkszs.htm,,,02787280707; 027-87282027,https://www.hzau.edu.cn/jyjx/yjsjy.htm,,,027-87282027,https://fao.hzau.edu.cn/,,fao@mail.hzau.edu.cn,"曾红霞 部长
邮箱 部长（职责分工： 全面主持国际合作与交流部工作）: zenghx@mail.hzau.edu.cn
邮箱 副部长（职责分工： 主管海外合作关系维护与拓展）: caozhen@mail.hzau.edu.cn
宋兰香（协助领导开展本单位综合协调和对外联络，负责本单位日常行政事务，会议接待、对外宣传、制度建设、印章管理、涉外合同管理等；负责与港澳台地区合作伙伴关系拓展与维护；从事本单位人事管理、资产管理、安全管理、信息统计等。）: songlanxiang@mail.hzau.edu.cn
徐瑛（负责国际会议预报、申报和总结管理、合同和档案管理、网站管理、协助部门来访接待和办公室日常工作等。）: xuying@mail.hzau.edu.cn
张建华（负责国际科技合作相关工作，服务与“一带一路”沿线国家合作与交流；相关国际联盟的联络工作；参与国际合作联合实验室等平台项目建设及各类相关国际合作项目申报；国际咨询委员会联络等事宜。）: jhzhang@mail.hzau.edu.cn
龙琳（负责各类外国专家项目和友谊奖的组织申报、形式审查和日常实施管理，短期外专/外宾来访审核管理等。）: longlin1126@mail.hzau.edu.cn
彭丽（教职工因公出访管理，因公证照管理，审核护照签证材料，对接省外办办理信息网上申报、护照签证等。）: pengli@mail.hzau.edu.cn
吴静怡（负责外国专家来华工作手续办理; 外籍教师日常服务与管理以及相关活动组织；教职工因公出访行后管理等事宜。）: wujingyi@mail.hzau.edu.cn
任丽红（负责与海外高校及科研院所合作伙伴关系拓展与维护；负责中外合作办学项目（机构）开拓和运行协调；负责留学基金委创新型人才国际合作培养项目、乡村振兴项目等申报与实施。）: renlihong@mail.hzau.edu.cn
章佳文（负责学生留学（访学）项目开拓、管理与服务；负责学生出国（境）系统建设与管理；指导学校国际文化交流协会，负责微信公众号的运营；协助开展部分合作交流事务。）: Zhangjiawen@mail.hzau.edu.cn
李瑞祥（负责学生出国（境）学习交流选派与管理；负责学生出国（境）精准留学服务工作；负责留学基金委其他国际化人才培养项目人员遴选与推荐（不含国家建设高水平大学公派研究生项目）；协助开展部分合作交流事务。）: ruixiangli@mail.hzau.edu.cn
刘薇: liuwei@mail.hzau.edu.cn
Keith Walley
曹震 副部长（。曾红霞在致辞中感谢市）",,6,"植物科学技术学院 | https://cpst.hzau.edu.cn | 电话:027-87282130
资源与环境学院 | https://zyhj.hzau.edu.cn | 电话:027-87282137
生命科学技术学院 | https://lst.hzau.edu.cn | 邮箱:tangyongmu@mail.hzau.edu.cn; bio@mail.hzau.edu.cn | 电话:027-87281265; +86-27-87287308
食品科学技术学院 | https://shipin.hzau.edu.cn | 电话:027-87282111
化学学院 | https://chem.hzau.edu.cn | 电话:027-87282133
信息学院 | https://coi.hzau.edu.cn | 邮箱:coi@mail.hzau.edu.cn | 电话:027-87288509; 027-87286876",
98,湖北省,华中师范大学,,211,公办,53,https://www.ccnu.edu.cn/zsjy/bysjy.htm,,,027-67868046; 027-67867020; 011102000286,https://www.ccnu.edu.cn/rcpy/yjsjy.htm,,,027-67866926,https://hmt.ccnu.edu.cn/,,,"邢军志 副主任（负责人樊…）
等共计 助理",,7,"◆ 心理学院 | http://psych.ccnu.edu.cn/ | 电话:027-67868680
◆ 数学与统计学学院 | http://maths.ccnu.edu.cn/
◆ 物理科学与技术学院 | http://phy.ccnu.edu.cn/ | 电话:027-67867017
◆ 化学学院 | http://chem.ccnu.edu.cn/ | 电话:027-67867955
◆ 生命科学学院 | http://bio.ccnu.edu.cn/ | 电话:+86-27-67867221
◆ 计算机学院 | http://cs.ccnu.edu.cn/ | 邮箱:cs@ccnu.edu.cn | 电话:027-67868318
◆ 城市与环境科学学院 | http://ccnucity.ccnu.edu.cn/ | 电话:027-67868305; 027-67861443; 027-67867610",
99,湖北省,武汉理工大学,,211,公办,54,https://www.whut.edu.cn/zhaoshengjiuye/,,English,027-87859017; 027-87651413; 027-87880058,https://www.whut.edu.cn/rencaipeiyang/yjsjy/,,,,https://gjc.whut.edu.cn/,,waishi@whut.edu.cn,"江辉一 秘书长（主持座谈）
孟芳兵 书记（主持仪式）",,0,,
100,湖南省,湖南师范大学,,211,公办,92,http://zsjy.hunnu.edu.cn/,,,0648569883; 071451831580; 037237159775,https://yjsy.hunnu.edu.cn,,yjsynews@hunnu.edu.cn,,https://oiec.hunnu.edu.cn/,,OIEC@HUNNU.EDU.CN,"国际合 处长
俞海宝 副主任
唐存忠 副主任（分管国际学生工作、孔子学院工作（已任我校驻村帮扶工作队队长）
刘晨晖 科长
郭丽萍 科员
胡润黎 科长
蔡昕蕾 科员
导服务 副主任（分管国际交流工作、因公临时出国境工作）
廖阿琼 科长
曾子荷 科员
交流 科员
李苗主 副主任（主持会议）
李苗 副主任（会议。 唐贤清代表学校对王胜刚理事长一行的到来表示热烈欢迎。他介绍，近年来学校积）
郑澜 院长（。 刘仲华校长向全体毕业生致以热烈祝贺，对远道而来的格雷厄姆・鲍德温校长一行表示）",,14,"地理科学学院 | http://dlkx.hunnu.edu.cn/ | 邮箱:zhxy@hunnu.edu.cn | 电话:0731-88872535
国际汉语文化学院 | http://icclc.hunnu.edu.cn/ | 邮箱:icclc@hunnu.edu.cn | 电话:0731-88873017
化学化工学院 | http://hgxy.hunnu.edu.cn/ | 电话:88872530
生命科学学院 | http://lifescience.hunnu.edu.cn/ | 电话:18890054350); 0731-88872525
数学与统计学院 | http://mc.hunnu.edu.cn/ | 电话:0731-88872515
物理与电子科学学院 | http://wdy.hunnu.edu.cn | 邮箱:wdy@hunnu.edu.cn | 电话:0731-88872520
信息科学与工程学院 | http://cise.hunnu.edu.cn | 邮箱:641381226@qq.com
地理科学学院 | http://dlkx.hunnu.edu.cn/ | 邮箱:zhxy@hunnu.edu.cn | 电话:0731-88872535
国际汉语文化学院 | http://icclc.hunnu.edu.cn/ | 邮箱:icclc@hunnu.edu.cn | 电话:0731-88873017
化学化工学院 | http://hgxy.hunnu.edu.cn/ | 电话:88872530
生命科学学院 | http://lifescience.hunnu.edu.cn/ | 电话:18890054350); 0731-88872525
数学与统计学院 | http://mc.hunnu.edu.cn/ | 电话:0731-88872515
物理与电子科学学院 | http://wdy.hunnu.edu.cn | 邮箱:wdy@hunnu.edu.cn | 电话:0731-88872520
信息科学与工程学院 | http://cise.hunnu.edu.cn | 邮箱:641381226@qq.com",
